id,temporada,kind,zx,zy,xt
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,5,-0.00425
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,6,0.17267
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,8,7,0.01252
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,9,6,0.00492
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,9,7,0.02003
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,10,6,-0.02086
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,10,7,-0.00516
aaoycxwi9jny6flm4apz8a2uh,2025-2026,gen,11,1,0.06643
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,1,5,0.00396
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,2,0,0.00547
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,2,1,0.00441
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,2,2,0.00401
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,2,3,0.0082
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,2,5,0.00415
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,0,0.00633
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,2,0.00469
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,3,0.01177
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,4,0.00937
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,5,0.02175
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,6,0.02124
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,3,7,0.00405
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,1,0.00355
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,2,0.04522
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,3,0.04243
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,4,0.00713
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,5,0.04001
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,6,0.0427
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,4,7,0.00372
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,5,2,0.00371
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,5,3,0.01676
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,5,4,0.0031
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,5,5,0.01162
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,5,6,0.00434
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,6,2,0.00357
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,6,3,0.00948
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,6,4,0.0288
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,6,5,0.0207
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,0,-0.00657
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,1,0.01864
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,2,0.0521
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,3,0.04351
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,4,0.0821
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,5,0.0285
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,6,0.05615
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,7,7,0.00716
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,8,1,0.08057
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,8,2,0.01068
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,8,3,0.06121
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,8,4,0.07242
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,8,6,0.02854
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,9,0,0.19342
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,9,1,-0.00951
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,9,4,-0.01509
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,9,5,0.1786
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,9,7,0.19396
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,10,5,0.05069
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,10,6,0.17462
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,10,7,0.00543
acxwc7xxrtyssiy390t859kgl,2025-2026,gen,11,6,-0.0083
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,0,5,0.00463
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,1,4,0.00497
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,2,4,0.00576
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,2,7,0.00681
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,3,3,0.00369
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,0,0.00367
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,1,0.00495
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,2,0.01
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,3,0.00392
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,4,0.0056
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,6,0.01585
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,4,7,0.00699
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,1,0.01083
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,2,0.02653
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,3,0.00341
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,4,0.00623
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,5,0.01647
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,6,0.00567
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,5,7,0.00385
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,6,1,0.01815
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,6,4,0.01315
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,6,5,0.00731
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,6,6,0.02017
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,0,0.00712
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,1,0.00948
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,2,0.01996
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,3,0.02685
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,4,0.02094
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,5,0.01626
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,7,6,0.00319
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,1,0.01993
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,2,0.00431
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,3,0.04488
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,4,0.01266
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,5,-0.00457
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,6,0.04024
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,8,7,0.07714
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,9,1,-0.00341
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,9,3,-0.01913
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,9,5,-0.01267
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,9,6,-0.0047
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,10,0,0.05254
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,10,1,-0.01048
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,10,5,-0.01749
adi6l78sdvet408eho4fi4xk9,2025-2026,gen,11,1,-0.00805
