id,temporada,zx,zy,touches
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,4,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,5,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,6,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,4,7,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,0,17
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,1,15
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,2,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,3,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,4,7
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,6,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,5,7,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,0,22
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,1,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,2,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,3,7
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,4,6
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,5,2
17iz3i6kzdxc115bdlgcgqdck,2025-2026,6,7,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,0,31
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,1,11
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,2,12
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,3,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,4,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,5,9
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,6,12
17iz3i6kzdxc115bdlgcgqdck,2025-2026,7,7,11
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,0,45
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,1,27
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,2,17
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,3,11
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,4,9
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,5,8
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,6,7
17iz3i6kzdxc115bdlgcgqdck,2025-2026,8,7,12
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,0,39
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,1,18
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,2,8
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,3,5
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,4,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,5,3
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,6,7
17iz3i6kzdxc115bdlgcgqdck,2025-2026,9,7,4
17iz3i6kzdxc115bdlgcgqdck,2025-2026,10,0,28
17iz3i6kzdxc115bdlgcgqdck,2025-2026,10,1,31
17iz3i6kzdxc115bdlgcgqdck,2025-2026,10,2,17
