id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
8n0dskalmx94ofiq6jewa22tx,2022-2023,Bundesliga,0.77,0.77,-0.77,0,16,16,0.27,5
76h7b6dhpyotolq68f84lqifp,2022-2023,Bundesliga,0.76,0.76,-0.76,0,19,19,3.2,24
d9q12xp4h8nhtjxl5il3vufh1,2022-2023,Bundesliga,0.76,0.76,-0.76,0,8,8,1.21,10
bvifdvoxv9e8nq8qe37c0gvrp,2022-2023,Bundesliga,0.76,0.76,-0.76,0,7,7,0.77,9
5ga7g20wsa7oqjbh4ijoeknl6,2022-2023,Bundesliga,0.75,0.75,-0.75,0,11,11,0.45,10
f5ln82l8q7gvouj3zhsp5t4gl,2022-2023,Bundesliga,0.75,0.75,0.25,1,16,16,1.37,23
29pq64smaxdwlraopnxoleqxh,2022-2023,Bundesliga,0.73,0.73,0.27,1,12,12,2.28,14
2k5g68ywtr79lc45wozvifqlm,2022-2023,Bundesliga,0.72,0.72,0.28,1,7,7,4.06,38
5bnq6c53ofgo9msqn3vlobpm2,2022-2023,Bundesliga,0.72,0.72,-0.72,0,2,2,0.04,1
c2bhdypnqifsl8eiovtfdmyg9,2022-2023,Bundesliga,0.7,0.7,-0.7,0,5,5,0.13,3
amd4rodp6senk2c1mmlsqozpx,2022-2023,Bundesliga,0.68,0.68,-0.68,0,7,7,1.02,13
a3ib09ji7qsz6cgj3vmz5qort,2022-2023,Bundesliga,0.68,0.68,0.32,1,8,8,0.67,11
9dnne0ny6o6d5c6w3ayoo4vvu,2022-2023,Bundesliga,0.67,0.67,1.33,2,16,16,0.9,14
8w5vjfl9ntyyxzyn2lo8k4dpm,2022-2023,Bundesliga,0.67,0.67,-0.67,0,6,6,0.04,1
5pnfmmq8b8jxmp1qnf82d8out,2022-2023,Bundesliga,1.45,0.67,1.33,2,16,15,0.4,8
a2l72iohmbq6rjr3rzrsvnwt1,2022-2023,Bundesliga,0.66,0.66,1.34,2,6,6,0.5,5
abuvjv3bhb402yf8p92kucez9,2022-2023,Bundesliga,0.66,0.66,-0.66,0,3,3,0.57,2
7vhnftizqlyu31st2vsmgh6tx,2022-2023,Bundesliga,0.65,0.65,0.35,1,8,8,2.76,18
8p2yagsx6ujdbmeonkd3u4c89,2022-2023,Bundesliga,0.65,0.65,0.35,1,21,21,3.16,25
emvi36y613e4lqlat3wfdih9l,2022-2023,Bundesliga,0.65,0.65,-0.65,0,3,3,0.56,11
6rg37ej1x7pwi7r4aq1107pih,2022-2023,Bundesliga,3.0,0.65,0.35,1,20,17,1.74,17
e91s5lp3fvfaav8w8xi7wdx3p,2022-2023,Bundesliga,0.65,0.65,2.35,3,9,9,3.15,18
6kge6vcoa9ocnh6tb8qznfzkl,2022-2023,Bundesliga,0.64,0.64,0.36,1,4,4,0.55,12
b6woton2db3w4rm67vu69buy2,2022-2023,Bundesliga,0.62,0.62,-0.62,0,17,17,1.74,23
5qc0owkwmgk74qy13ft3kpg5,2022-2023,Bundesliga,0.6,0.6,-0.6,0,12,12,1.98,23
40rzvcdss138e6futx3bht3o5,2022-2023,Bundesliga,0.59,0.59,-0.59,0,9,9,1.15,7
2uz1cmslnjjzsgfcgji26kqg9,2022-2023,Bundesliga,0.58,0.58,-0.58,0,14,14,4.57,37
630sqbiu7utmkg8yw0h4ky8a2,2022-2023,Bundesliga,0.58,0.58,-0.58,0,6,6,0.29,4
43eq31reskwn9veb3vickralm,2022-2023,Bundesliga,0.58,0.58,-0.58,0,7,7,2.28,14
980t379w5cp7umv1eltwlfca1,2022-2023,Bundesliga,0.57,0.57,0.43,1,6,6,0.4,4
4gmknefwu0tt33z88tu75xmg9,2022-2023,Bundesliga,0.56,0.56,-0.56,0,9,9,1.6,16
3g9riero16s160evc28u3q3u1,2022-2023,Bundesliga,0.56,0.56,-0.56,0,12,12,0.48,6
6uurhe88nry4hyelll8ifzd91,2022-2023,Bundesliga,0.53,0.53,-0.53,0,15,15,1.89,19
4kolmisdpprx0wrahisadl5n9,2022-2023,Bundesliga,0.52,0.52,-0.52,0,16,16,1.0,16
8zmj7mo9zxsoo5trhmmgmgb56,2022-2023,Bundesliga,0.51,0.51,0.49,1,3,3,0.06,2
1mkbxdrj3myvt6jm4tx8sywgl,2022-2023,Bundesliga,0.51,0.51,-0.51,0,6,6,2.04,16
6u47fsriz3ejlf72hxtsew5bd,2022-2023,Bundesliga,0.51,0.51,1.49,2,10,10,2.57,25
d7xdtkzw3h749ngi4sobn6kmh,2022-2023,Bundesliga,0.51,0.51,-0.51,0,14,14,0.65,9
bm5w5xsbbflm26pdhmejwgvs9,2022-2023,Bundesliga,0.51,0.51,-0.51,0,10,10,0.04,1
9x0s8mzjc9ey0q812sn3poums,2022-2023,Bundesliga,0.5,0.5,0.5,1,1,1,0.0,0
dadiwuzf33969g3808sdd9brp,2022-2023,Bundesliga,1.28,0.49,0.51,1,6,5,0.0,0
c82gu4dg85nwgkp7quzwqvefp,2022-2023,Bundesliga,0.49,0.49,-0.49,0,9,9,0.11,3
3qy1qlzezgfkxeom5n1r9h13p,2022-2023,Bundesliga,0.48,0.48,-0.48,0,12,12,2.65,26
1n0y675l767w55pipq5lgj1zp,2022-2023,Bundesliga,0.48,0.48,0.52,1,11,11,0.19,4
1s1v1tweyx8wxc9hj2jrnaggl,2022-2023,Bundesliga,0.48,0.48,0.52,1,5,5,1.19,13
2tdxcr1wkubis5n81sg4pzyz9,2022-2023,Bundesliga,0.47,0.47,0.53,1,10,10,0.36,7
1psr9ra8k9j4r94p1xixagzbp,2022-2023,Bundesliga,0.46,0.46,1.54,2,11,11,0.31,6
2w76r8guf9sacoriu0ivytyax,2022-2023,Bundesliga,0.46,0.46,-0.46,0,11,11,0.7,9
38knnji3m4qg6pqohph35n74l,2022-2023,Bundesliga,0.45,0.45,0.55,1,10,10,1.9,22
11dqnpwlb2clu2v7rnghsrlcl,2022-2023,Bundesliga,0.45,0.45,-0.45,0,14,14,0.94,7
6yhylu5q0y924amgv7vlodkgl,2022-2023,Bundesliga,0.45,0.45,-0.45,0,8,8,0.61,6
254i1zsifi2er9rvuxgi9katx,2022-2023,Bundesliga,0.45,0.45,-0.45,0,11,11,1.17,20
5mbkc1nqmirbtfml9aklqr5xx,2022-2023,Bundesliga,0.44,0.44,-0.44,0,9,9,2.06,19
2es4ydlcwwasm6mu7rmey5r3e,2022-2023,Bundesliga,0.43,0.43,-0.43,0,2,2,1.02,8
f3xm12deg7xf3g2n3yk11npat,2022-2023,Bundesliga,0.43,0.43,-0.43,0,10,10,1.28,21
84uzswqtdoq56g034rg0kk16,2022-2023,Bundesliga,0.43,0.43,-0.43,0,3,3,0.05,2
e8dpcth2x1y0zbaovljbgk5hx,2022-2023,Bundesliga,0.43,0.43,0.57,1,2,2,0.13,2
ec5ng4j3rcjwsjz1v05e1z3dh,2022-2023,Bundesliga,0.42,0.42,0.58,1,5,5,0.97,9
5arng6g4ietx2jwgcd2kpqdpl,2022-2023,Bundesliga,0.42,0.42,0.58,1,9,9,0.78,10
70tsvrcmklvp4ecdhxlugf8ix,2022-2023,Bundesliga,0.42,0.42,-0.42,0,11,11,0.28,5
ep1bhk6t6sudlhjjz20j199ed,2022-2023,Bundesliga,0.39,0.39,-0.39,0,9,9,0.32,6
4f7gwrfeqm4x3k29jehes6od1,2022-2023,Bundesliga,0.39,0.39,0.61,1,4,4,0.12,3
2mwe6l0eu1tisri3eu26fx8x6,2022-2023,Bundesliga,0.39,0.39,-0.39,0,3,3,0.32,5
9c9v6wjh3fufmds8nm5aqfmcp,2022-2023,Bundesliga,0.38,0.38,0.62,1,2,2,0.0,0
6xjbcik3a56d0vqy4vrq5eokp,2022-2023,Bundesliga,0.38,0.38,0.62,1,1,1,0.1,2
