id,nombre,foot
exzca2akgjl00jfd2hzh33h7t,,
55eiicx10oqok1601fqyovt1x,,
jvtea24o3s6ze8etqk0rqgru,,
38de1wbyp2ruksgffna791n8p,,
55yy0p6johtu9nxk90zsfctt5,,
3rtuz9v8j72g7582pqbuaijf9,,
7y6f63pj7horkzhdzbge02rqh,,
71bbzkvxtah61qhi34m9n79ck,,
as2byx2nymkahqyzw88gxictm,,
1hwkpsnmh04e9jakw26e584k4,,
465ote63ku4expl5kfdck5plh,,
1ziaf8ivlizetjhinr9ua6uax,,
dw9fzixumboknmucqgqffurmy,,
6w6ewzxircqxk6dsrs1rvc8ru,,
6zjzpbshmem98ecmuc852di0a,,
bhi4ivjgojkot4d7za72gu2nd,,
bocgbpxctelmsucqoba2dujca,,
4txq9os03xwnktfi0n2qdmok,,
ex10o77wnk1exp9tj1t1rqj56,,
22zaq3o78o5feeogqdsvig02y,,
1abb1gcw7arw1nkbuxnccjca1,,
979xx3uzyuwalkho856m0b14a,,
2vgr8c97x4b2e51tyvvixusid,,
3mgjcyaseuexxlssgatjgsand,,
cjdycctu96jilvbvnl7ndh9sl,,
ece7xph4emgawvh7mr56319ex,,
3l7amac6wdv9yztupg7ur3kl,,
ai5p5wgft6c09bjbldz9sfeac,,
2o3bka7gokfjkej1f600ovbo5,,
drjbms71w0kt1pidq8q17h05w,,
bnjdkz5d7st9gtn2srjs8ozc9,,
3pqbfpqicht6vll0fosml3tp0,,
9c2i7ddl2uh7kuhwq62klkyui,,
b4llr08d8tnltvsnv7agrxnxm,,
egtyl4noukbjkm1va1i11e87o,,
7iv79dtpsplpjl1jxod3swmlm,,
4yyekuopwb7otz18rqfgwjht5,,
31foqyshubo5nkh8kdmbjw8kq,,
1yev88jhwy9w7c4v3m4yyul7t,,
44o5mjglkzqxctz07ust9bcru,,
55bgi895g03zhc7vdh7e7yvv9,,
c88btdvycx8d59x4yn1yrfqc4,,
cfg0ocm0b2icpagbtnzkrihn9,,
7jpzrq4bpes3uc1pkh56sc0oa,,
e3h1tvkjrapl7usr04np8759m,,
4o48qpaaxvvvbjuxjeshj85hx,,
cj3dik1dqyo2nf1jgmyn471sl,,
b5ff5jpe5loaqmlxwsqine9ec,,
dua66xdc42wx57vmgh5t4ttxx,,
6h0fuh0aamz86pf25qebm0fvu,,
dwnd8j9ok6ncbp69gmchw953o,,
e1islmeew98wa2ge0dicloay2,,
5606cqx2mlkrp81oe6uh6ghec,,
9uo88sreasbyj41lg34hxy28l,,
6264xjr1y00yu7b9j2pknalzp,,
3wp8fuk07m1ph1fpmbqe7tf55,,
7pk2vyumro8ku45aar5dw7dw4,,
1g15ehziupxnsy1kvl3pqmbc9,,
aulvxmbiie751rx4lfrfpmhas,,
4ezld812zytvbokz97jwycgkp,,
7qy1hiitksyuaa9l0irxg240l,,
4gbk8ka3fv401f8zyslo38fai,,
c83h08n0vnjvfgglyefy03h0p,,
4stnvxbf7enogqej29n3ll0d0,,
ecp0v1dxqfjbgy3urnkz5d3o5,,
5qc2hwkixcdpfbq6qmfpxvey2,,
g3fgd752o63acmmuahdvppm1,,
p7vw4thx5wzo49h6hfabcq5m,,
a1yoz8f4985o166nzcyigpj2t,,
9bkzl4dx3mci3w86rjpfkwowk,,
235o0gowb68vw5utyes1a51qs,,
77yaqzy45dxtzicao00jxrlgq,,
c5zmr0m17riujelm4up44etih,,
2w7i4jfw5wgh3j2wuworoumeh,,
1d3da6oy5qbv09fra1z4pqrdg,,
btf0dch35aww78bzillh2jgx6,,
33h8s55zcj0j535g2dyz9tnqi,,
exhxdmdq49xj4dnguq03qnlgq,,
dvj6rdi2k0td95oxldbj6e28l,,
3ejs2v072imy9uf3nmg43i0ic,,
9irgn82qm11logbhup51rg5wp,,
cv1d56d42wujfuc4kt6bn53x0,,
c33x61zuxixolkkalsigc3q0a,,
h12c7ocq35slzrop3ltnrsnp,,
dodddfi0l5i36vlgbaybhzeqy,,
3o0zpl9cnmna2hyk595ja0xrd,,
9eaevg9okpy4gcm6yofg7vbv9,,
d542ijpf3j9hdrtt1mfe6vwlx,,
27hwtukeqxh91ch1f3qr1it49,,
18ibccymsaxom7wdnfz0tevx0,,
3djmsd2atvq16ysmocq7twsfd,,
8azqsh9x69noyyxe508disyz8,,
cjq9g6zgcxk1ceo2xzpe1qnyt,,
eobf6cct1dpm7bdqyatg6ejmx,,
jykf7m9lffcn8ezf8fcouv3d,,
6xzgcexqk70l1ps75vs22c9p0,,
2nz313c0ot91untg011l3pc6h,,
at7mm2zrj2hjhu4bnq1f9noix,,
8wcpxluqhub8yqrgi1jcvzbx0,,
d3pb7ybk0yv0hrjbr80vyx1xw,,
2enbc2twlit6p88fivho2aal0,,
d6tc895jr5kkxotydz2jcjx1w,,
5l8wtw156meo2vrtrgasif6jt,,
9p0o4y4dpb8xioba6ogpu2nmc,,
bvlwv6fwawqnv446zj516y4no,,
7tq0nbv4r6h0xubf1yugetp4a,,
73efpm314q2paeacsvp4e8q8l,,
cewu4eas8t4vqw2ade2o5apsk,,
6wwagkprtmcadu8p6klcu2uhh,,
7sdbx7mzjxhvofvke9mp26kbu,,
7cp51c8zn7y08iyk0hc9ix5nt,,
2uiza5b6fbum38chxtvmnkzqh,,
e1t5rgvs2hwnldts6vn8agzc9,,
66r7rq9kcoyow46ovmhzrtec5,,
36h87ecgmpjdltk1epsbvmiju,,
bgsz3d0fmlaw8003dn66i4m0a,,
4x28fz3umkky3c6488mza2961,,
dusjrdiyxfadenwx4pjr7catx,,
boehs62sf23wlas5wb4l5s2y,,
wg9qybhs3qeq9awhux331uqx,,
5pbnl8ssfcrxf9lfg1pl3vxzp,,
f1d2kd0gd4a3jlerhixmi7uy2,,
31wf775s975qy3il33oora8k5,,
85a377j24ljbzjwmtza22f95g,,
7nivkfkngr374fx5totgektm1,,
6w1s9fojh50ecti3rz8jv6jca,,
f1lellpt59ka10kyngi7vsqy2,,
dl8x6fzdexn8r0sj65vgcgq8l,,
5frs9u0spep2j3gszu06awo9h,,
71rob1lsnmdviy1siakkzpqdx,,
5hu4oy1jz8k1c3ajuiueoo2ga,,
33hs47yxefec8e9ntgqgr49n9,,
3vp8awfs73xgrh2krs24w6up5,,
9g4ojrys88awchyj6zgmd6oes,,
970owquiv1ukwfm4fn89gc7pw,,
8i3y6fo1y3gizq05j2im17c6i,,
8qmm84tue6kuz8e5nhhdhmz8p,,
31bs2qi2aa9in77z0iftbkk8a,,
6hoqv4bzsul26mtvkvo1x8lxw,,
2apqk2zobhs8ypnaw0bzkch9m,,
39dgr8s91agremy3nvp4q2221,,
39bcswfqnpa07b4afevezejo4,,
29f3jvukalzylzr19t9phgxgq,,
7r7wgbcu7vmlj19m9jpjhu1yi,,
8hm6d6395johhjsoe8jz6dcyd,,
do5tibysnhbnbw18nwdo39kut,,
5ayo0fp6wod7cqg71e38zdz4k,,
72teeil638lx1xlg6htlkt1qs,,
b91n9sdabth8oocdawayybdud,,
3tzvbdszdrj1tayik9igbve8l,,
b2rqgjegzeyq6wy6qu63zz2fo,,
a2k7c99py1zab3qa0i0pjy590,,
ddvvwqxpsqqboupi3gx1ijhed,,
ck7lu09geq8mi6vkf2llyi5ii,,
7fmpgkx58o9pivo2bbnxxkt05,,
v7isqpxiursyjhj5rmhyhjv9,,
7aoe0u87gxgv9tvgrotcfue7e,,
66jotyvbhtz5cjvhbby6luelm,,
5kd57453a90zahgdxwkghr816,,
352ywlfcjt329s7etjn4rkui2,,
1xsrdgt40nb6p9qvt6mf272fo,,
7ubtan6a51o79w469zawrqqqd,,
dfcbvsb7o18lavmonbp5ucwoa,,
by8xbw0rb239l1x4b0t33tpn8,,
esru3us4k7xaj6hjycz78pdsk,,
26wj6flfqi59vgz6vwjgur2ay,,
4vlurpsi44g09g159t61u83bp,,
43sv2qpco7dsobxna7z9dugyy,,
7x2c4pr7hvku5zp0dnjcpy0yy,,
83n1qv6ypl625aolzjeqifv11,,
9d5h5wxf44qu4fw3jk2pgis16,,
uzzq2p3s1qnb3wv1pee3mcph,,
609aarpl34780k5mkkwluvjf8,,
2zcha0sd7axiu2s2c0bccz2s5,,
